code, name
27, Escape
112, F1
113, F2
114, F3
115, F4
116, F5
117, F6
118, F7
119, F8
120, F9
121, F10
122, F11
123, F12
192, `
49, 1
50, 2
51, 3
52, 4
53, 5
54, 6
55, 7
56, 8
57, 9
48, 0
189, -
187, =
8, Backspace
9, Tab
20, CapsLock
16, Shift
13, Enter
17, Control
18, Alt
92, Meta
65, a
66, b
67, c
68, d
69, e
70, f
71, g
72, h
73, i
74, j
75, k
76, l
77, m
78, n
79, o
80, p
81, q
82, r
83, s
84, t
85, u
86, v
87, w
88, x
89, y
90, z
219, [
221, ]
186, ;
222, '
188, ","
190, .
191, /
220, \
38, ArrowUp
37, ArrowLeft
39, ArrowRight
40, ArrowDown
32, " "
